cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,location,site_depth,hub_height
1.0,WTIV,Mobilize,168.0,1750000.0,ACTION,0.0,MonopileInstallation,,,,,
0.5,Feeder 0,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,
0.5,Feeder 1,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,
,WTIV,Transit,3.2432432432432434,33783.78378378379,ACTION,3.2432432432432434,MonopileInstallation,,,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,12.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,20.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,32.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,40.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,52.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,60.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,72.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,80.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,92.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,100.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,112.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,120.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 1,Queue,120.0,600000.0,ACTION,120.0,MonopileInstallation,,,,,
,Feeder 0,Transit,3.2432432432432434,16216.216216216217,ACTION,123.24324324324324,MonopileInstallation,,,,,
,Feeder 0,Position Onsite,2.0,10000.0,ACTION,125.24324324324324,MonopileInstallation,,,,,
,Feeder 0,Jackup,1.6666666666666667,8333.333333333334,ACTION,126.90990990990991,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay: Not enough vessels for monopiles,123.66666666666667,1288194.4444444445,ACTION,126.90990990990991,MonopileInstallation,,,Site,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,131.9099099099099,MonopileInstallation,,,,,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,132.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,132.22657657657658,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,133.22657657657658,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,136.22657657657658,MonopileInstallation,,,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,140.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay,6.0,62500.0,ACTION,142.22657657657658,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,142.94964211190438,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,142.9528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,143.9528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Delay,4.0,41666.666666666664,ACTION,147.9528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,149.4528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,151.4528921119044,MonopileInstallation,,,,,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,152.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,152.4528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,153.4528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,157.4528921119044,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,157.76955877857105,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,160.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,162.76955877857105,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,163.08622544523772,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,164.08622544523772,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,167.08622544523772,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,167.80929098056552,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,167.81254098056553,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,168.81254098056553,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,170.31254098056553,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,172.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,172.31254098056553,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,173.31254098056553,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,174.31254098056553,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,178.31254098056553,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,178.6292076472322,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,180.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,183.6292076472322,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,183.94587431389886,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,184.94587431389886,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,187.94587431389886,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,188.66893984922666,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,188.67218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,189.67218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,192.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 1,Delay,19.0,95000.0,ACTION,211.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay,25.0,260416.66666666666,ACTION,214.67218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,216.17218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,218.17218984922667,MonopileInstallation,,,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,219.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,219.17218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Delay,1.0,10416.666666666666,ACTION,220.17218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,221.17218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,225.17218984922667,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,225.48885651589333,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,230.48885651589333,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,230.80552318256,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,231.0,MonopileInstallation,MonopileInstallation,5.0,,,
