cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,location
1.0,WTIV,Mobilize,168.0,1750000.0,ACTION,0.0,MonopileInstallation,,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,12.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,20.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,32.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,40.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,52.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,60.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,72.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,80.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,123.24324324324324,MonopileInstallation,,,,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,128.24324324324323,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,128.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,129.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Release Monopile,3.0,31250.0,ACTION,132.5599099099099,MonopileInstallation,,,,,,
,WTIV,Delay,10.0,104166.66666666666,ACTION,142.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,143.2829754452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,143.2862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,144.2862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Delay,3.0,31250.0,ACTION,147.2862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,148.7862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,150.7862254452377,MonopileInstallation,,,,,,
